"id","vote_id","voting_choice_id","alternative_ordinal","create_time","update_time"
"634","338","5","0","2018-06-12 20:15:12","2018-06-12 20:15:12"
"635","338","4","1","2018-06-12 20:15:12","2018-06-12 20:15:12"
"636","339","4","0","2018-06-12 20:31:17","2018-06-12 20:31:17"
"637","339","2","1","2018-06-12 20:31:17","2018-06-12 20:31:17"
"638","340","4","1","2018-06-12 20:33:35","2018-06-12 20:33:35"
"639","340","2","0","2018-06-12 20:33:35","2018-06-12 20:33:35"
"640","341","3","1","2018-06-12 20:52:05","2018-06-12 20:52:05"
"641","341","2","0","2018-06-12 20:52:05","2018-06-12 20:52:05"
"642","342","6","0","2018-06-12 20:54:12","2018-06-12 20:54:12"
"643","342","4","1","2018-06-12 20:54:12","2018-06-12 20:54:12"
"644","343","4","1","2018-06-12 20:59:52","2018-06-12 20:59:52"
"645","343","6","0","2018-06-12 20:59:52","2018-06-12 20:59:52"
"646","344","2","1","2018-06-12 21:02:22","2018-06-12 21:02:22"
"647","344","4","0","2018-06-12 21:02:22","2018-06-12 21:02:22"
"648","345","5","0","2018-06-12 21:03:29","2018-06-12 21:03:29"
"649","345","4","1","2018-06-12 21:03:29","2018-06-12 21:03:29"
"650","346","2","0","2018-06-12 21:08:41","2018-06-12 21:08:41"
"651","346","6","1","2018-06-12 21:08:41","2018-06-12 21:08:41"
"652","347","5","1","2018-06-12 21:16:49","2018-06-12 21:16:49"
"653","347","2","0","2018-06-12 21:16:49","2018-06-12 21:16:49"
"654","348","6","0","2018-06-12 21:19:32","2018-06-12 21:19:32"
"655","348","5","1","2018-06-12 21:19:32","2018-06-12 21:19:32"
"656","349","6","0","2018-06-12 21:20:37","2018-06-12 21:20:37"
"657","349","2","1","2018-06-12 21:20:37","2018-06-12 21:20:37"
"658","351","4","0","2018-06-12 21:26:43","2018-06-12 21:26:43"
"659","351","2","1","2018-06-12 21:26:43","2018-06-12 21:26:43"
"660","352","4","1","2018-06-12 21:29:22","2018-06-12 21:29:22"
"661","352","6","0","2018-06-12 21:29:22","2018-06-12 21:29:22"
"662","353","5","1","2018-06-12 21:31:47","2018-06-12 21:31:47"
"663","353","6","0","2018-06-12 21:31:47","2018-06-12 21:31:47"
"664","354","4","0","2018-06-12 21:37:09","2018-06-12 21:37:09"
"665","355","6","0","2018-06-12 21:37:23","2018-06-12 21:37:23"
"666","356","6","0","2018-06-12 21:37:41","2018-06-12 21:37:41"
"667","356","2","1","2018-06-12 21:37:41","2018-06-12 21:37:41"
"668","357","4","0","2018-06-12 22:00:59","2018-06-12 22:00:59"
"669","357","6","1","2018-06-12 22:00:59","2018-06-12 22:00:59"
"670","358","5","1","2018-06-12 22:03:01","2018-06-12 22:03:01"
"671","358","2","0","2018-06-12 22:03:01","2018-06-12 22:03:01"
"672","359","6","1","2018-06-12 22:18:51","2018-06-12 22:18:51"
"673","359","4","0","2018-06-12 22:18:51","2018-06-12 22:18:51"
"674","360","2","1","2018-06-12 22:25:21","2018-06-12 22:25:21"
"675","360","5","0","2018-06-12 22:25:21","2018-06-12 22:25:21"
"676","361","5","0","2018-06-12 22:26:04","2018-06-12 22:26:04"
"677","361","6","1","2018-06-12 22:26:04","2018-06-12 22:26:04"
"678","362","4","1","2018-06-12 22:34:17","2018-06-12 22:34:17"
"679","362","6","0","2018-06-12 22:34:17","2018-06-12 22:34:17"
"680","363","2","0","2018-06-12 22:40:48","2018-06-12 22:40:48"
"681","363","4","1","2018-06-12 22:40:48","2018-06-12 22:40:48"
"682","364","6","0","2018-06-12 22:45:21","2018-06-12 22:45:21"
"683","364","4","1","2018-06-12 22:45:21","2018-06-12 22:45:21"
"684","365","6","0","2018-06-12 22:58:13","2018-06-12 22:58:13"
"685","365","4","1","2018-06-12 22:58:13","2018-06-12 22:58:13"
"686","366","4","1","2018-06-12 23:14:34","2018-06-12 23:14:34"
"687","366","5","0","2018-06-12 23:14:34","2018-06-12 23:14:34"
"688","367","4","0","2018-06-12 23:22:43","2018-06-12 23:22:43"
"689","367","6","1","2018-06-12 23:22:43","2018-06-12 23:22:43"
"690","368","5","1","2018-06-12 23:32:06","2018-06-12 23:32:06"
"691","368","4","0","2018-06-12 23:32:06","2018-06-12 23:32:06"
"692","369","4","1","2018-06-12 23:51:17","2018-06-12 23:51:17"
"693","369","6","0","2018-06-12 23:51:17","2018-06-12 23:51:17"
"694","370","5","0","2018-06-13 00:04:56","2018-06-13 00:04:56"
"695","370","2","1","2018-06-13 00:04:56","2018-06-13 00:04:56"
"696","371","4","1","2018-06-13 00:06:23","2018-06-13 00:06:23"
"697","371","6","0","2018-06-13 00:06:23","2018-06-13 00:06:23"
"698","372","3","1","2018-06-13 00:36:17","2018-06-13 00:36:17"
"699","372","2","0","2018-06-13 00:36:17","2018-06-13 00:36:17"
"700","373","2","0","2018-06-13 01:07:36","2018-06-13 01:07:36"
"701","373","3","1","2018-06-13 01:07:36","2018-06-13 01:07:36"
"702","374","5","0","2018-06-13 01:09:08","2018-06-13 01:09:08"
"703","374","2","1","2018-06-13 01:09:08","2018-06-13 01:09:08"
"704","375","6","0","2018-06-13 01:14:30","2018-06-13 01:14:30"
"705","375","4","1","2018-06-13 01:14:30","2018-06-13 01:14:30"
"706","376","4","0","2018-06-13 01:18:36","2018-06-13 01:18:36"
"707","376","3","1","2018-06-13 01:18:36","2018-06-13 01:18:36"
"708","377","2","0","2018-06-13 01:27:32","2018-06-13 01:27:32"
"709","378","4","1","2018-06-13 02:12:41","2018-06-13 02:12:41"
"710","378","6","0","2018-06-13 02:12:41","2018-06-13 02:12:41"
"711","379","2","1","2018-06-13 02:18:12","2018-06-13 02:18:12"
"712","379","4","0","2018-06-13 02:18:12","2018-06-13 02:18:12"
"713","380","3","1","2018-06-13 03:01:13","2018-06-13 03:01:13"
"714","380","2","0","2018-06-13 03:01:13","2018-06-13 03:01:13"
"715","381","6","0","2018-06-13 03:45:03","2018-06-13 03:45:03"
"716","381","4","1","2018-06-13 03:45:03","2018-06-13 03:45:03"
"717","382","4","1","2018-06-13 04:43:08","2018-06-13 04:43:08"
"718","382","6","0","2018-06-13 04:43:08","2018-06-13 04:43:08"
"719","383","2","1","2018-06-13 05:30:25","2018-06-13 05:30:25"
"720","383","3","0","2018-06-13 05:30:25","2018-06-13 05:30:25"
"721","384","4","1","2018-06-13 05:54:12","2018-06-13 05:54:12"
"722","384","6","0","2018-06-13 05:54:12","2018-06-13 05:54:12"
"723","385","2","0","2018-06-13 05:59:16","2018-06-13 05:59:16"
"724","385","4","1","2018-06-13 05:59:16","2018-06-13 05:59:16"
"725","386","2","1","2018-06-13 07:11:29","2018-06-13 07:11:29"
"726","386","5","0","2018-06-13 07:11:29","2018-06-13 07:11:29"
"727","387","4","1","2018-06-13 07:12:23","2018-06-13 07:12:23"
"728","387","6","0","2018-06-13 07:12:23","2018-06-13 07:12:23"
"729","388","3","1","2018-06-13 07:14:55","2018-06-13 07:14:55"
"730","388","6","0","2018-06-13 07:14:55","2018-06-13 07:14:55"
"731","389","5","0","2018-06-13 07:41:18","2018-06-13 07:41:18"
"732","390","4","1","2018-06-13 07:51:05","2018-06-13 07:51:05"
"733","390","6","0","2018-06-13 07:51:05","2018-06-13 07:51:05"
"734","391","3","1","2018-06-13 07:56:28","2018-06-13 07:56:28"
"735","391","2","0","2018-06-13 07:56:28","2018-06-13 07:56:28"
"736","392","6","0","2018-06-13 08:21:24","2018-06-13 08:21:24"
"737","392","4","1","2018-06-13 08:21:24","2018-06-13 08:21:24"
"738","393","3","0","2018-06-13 08:53:02","2018-06-13 08:53:02"
"739","393","5","1","2018-06-13 08:53:02","2018-06-13 08:53:02"
"740","394","4","0","2018-06-13 09:06:26","2018-06-13 09:06:26"
"741","394","2","1","2018-06-13 09:06:26","2018-06-13 09:06:26"
"742","396","6","0","2018-06-13 09:34:29","2018-06-13 09:34:29"
"743","396","4","1","2018-06-13 09:34:29","2018-06-13 09:34:29"
"744","397","3","0","2018-06-13 09:38:07","2018-06-13 09:38:07"
"745","397","6","1","2018-06-13 09:38:07","2018-06-13 09:38:07"
"746","398","2","1","2018-06-13 10:13:06","2018-06-13 10:13:06"
"747","398","4","0","2018-06-13 10:13:06","2018-06-13 10:13:06"
"748","399","6","1","2018-06-13 10:24:56","2018-06-13 10:24:56"
"749","399","5","0","2018-06-13 10:24:56","2018-06-13 10:24:56"
"750","400","3","1","2018-06-13 10:30:32","2018-06-13 10:30:32"
"751","400","6","0","2018-06-13 10:30:32","2018-06-13 10:30:32"
"752","401","4","1","2018-06-13 10:33:14","2018-06-13 10:33:14"
"753","401","5","0","2018-06-13 10:33:14","2018-06-13 10:33:14"
"754","402","4","0","2018-06-13 10:51:50","2018-06-13 10:51:50"
"755","402","5","1","2018-06-13 10:51:50","2018-06-13 10:51:50"
"756","403","4","1","2018-06-13 10:53:46","2018-06-13 10:53:46"
"757","403","6","0","2018-06-13 10:53:46","2018-06-13 10:53:46"
"758","404","5","0","2018-06-13 11:01:05","2018-06-13 11:01:05"
"759","404","2","1","2018-06-13 11:01:05","2018-06-13 11:01:05"
"760","405","2","1","2018-06-13 11:17:37","2018-06-13 11:17:37"
"761","405","6","0","2018-06-13 11:17:37","2018-06-13 11:17:37"
"762","406","4","0","2018-06-13 11:17:38","2018-06-13 11:17:38"
"763","406","2","1","2018-06-13 11:17:38","2018-06-13 11:17:38"
"764","407","3","1","2018-06-13 11:23:26","2018-06-13 11:23:26"
"765","407","5","0","2018-06-13 11:23:26","2018-06-13 11:23:26"
"766","408","3","0","2018-06-13 11:35:25","2018-06-13 11:35:25"
"767","408","6","1","2018-06-13 11:35:25","2018-06-13 11:35:25"
"768","409","2","0","2018-06-13 11:49:14","2018-06-13 11:49:14"
"769","409","6","1","2018-06-13 11:49:14","2018-06-13 11:49:14"
